tipo,nroproctab,codconv,nome,especialidade,simbolo,preco,candidatos_brana_por_nome,candidatos_brana_por_codigo,candidatos_por_similaridade,posicao_relativa,motivo_bloqueio,id,codigo,candidatos_easy_dental
easy,31,6300,Marzupialização de cisto,,,,[],[],"[{'codigo': 6300, 'id': 40587, 'nome': 'Marzupializa\x87Æo de cisto', 'score': 0.9167}, {'codigo': 1000, 'id': 40712, 'nome': 'Aplica\x87Æo de Cariost tico - (sessÆo)', 'score': 0.5357}, {'codigo': 5090, 'id': 40604, 'nome': 'Imobiliza\x87Æo dent ria (esplintagem)', 'score': 0.4912}]",,sem_candidato_semantico_confiavel,,,
easy,32,6310,Reconstrução parcial do lábio traumatizado,,,,[],[],"[{'codigo': 6310, 'id': 40588, 'nome': 'Reconstru\x87Æo parcial do l bio traumatizado', 'score': 0.9286}, {'codigo': 6320, 'id': 40589, 'nome': 'Reconstru\x87Æo total do l bio traumatizado', 'score': 0.8293}, {'codigo': 8390, 'id': 40766, 'nome': 'Pr¢tese Parcial Remov¡vel - (por arcada)', 'score': 0.4872}]",,sem_candidato_semantico_confiavel,,,
easy,33,6320,Reconstrução total do lábio traumatizado,,,,[],[],"[{'codigo': 6320, 'id': 40589, 'nome': 'Reconstru\x87Æo total do l bio traumatizado', 'score': 0.925}, {'codigo': 6310, 'id': 40588, 'nome': 'Reconstru\x87Æo parcial do l bio traumatizado', 'score': 0.8293}, {'codigo': 8420, 'id': 40769, 'nome': 'Pr¢tese Total - (por arcada)', 'score': 0.4688}]",,sem_candidato_semantico_confiavel,,,
easy,34,6330,Suturas múltiplas da face ou lábio,,,,[],[],"[{'codigo': 6330, 'id': 40590, 'nome': 'Suturas m£ltiplas da face ou l bio', 'score': 0.9412}, {'codigo': 6340, 'id': 40591, 'nome': 'Suturas simples da face ou l bio', 'score': 0.8485}, {'codigo': 5210, 'id': 40617, 'nome': 'Restaura\x87Æo em Resina Direta - (1 Face)', 'score': 0.4638}]",,sem_candidato_semantico_confiavel,,,
easy,35,6340,Suturas simples da face ou lábio,,,,[],[],"[{'codigo': 6340, 'id': 40591, 'nome': 'Suturas simples da face ou l bio', 'score': 0.9688}, {'codigo': 6330, 'id': 40590, 'nome': 'Suturas m£ltiplas da face ou l bio', 'score': 0.8485}, {'codigo': 6270, 'id': 40584, 'nome': 'Exodontia simples - (Anteriores)', 'score': 0.5}]",,sem_candidato_semantico_confiavel,,,
easy,38,6370,Tratamento cirúrgico do lábio leporino,,,,[],[],"[{'codigo': 6370, 'id': 40594, 'nome': 'Tratamento cir£rgico do l bio leporino', 'score': 0.9474}, {'codigo': 4200, 'id': 40644, 'nome': 'Tratamento cirurgico de lesÆo endo-perio - (Curetagem)', 'score': 0.6136}, {'codigo': 4210, 'id': 40645, 'nome': 'Tratamento cirurgico de lesÆo endo-perio com enxerto leofilizado', 'score': 0.6078}]",,sem_candidato_semantico_confiavel,,,
easy,39,5000,Adequação de meio bucal,,,,[],[],"[{'codigo': 5000, 'id': 40595, 'nome': 'Adequa\x87Æo de meio bucal', 'score': 0.913}, {'codigo': 4100, 'id': 40634, 'nome': 'Desobtura\x87Æo de canal', 'score': 0.5455}, {'codigo': 7050, 'id': 40876, 'nome': 'Levanto de seio maxilar', 'score': 0.5217}]",,sem_candidato_semantico_confiavel,,,
easy,40,5010,Ajuste oclusal - (por sessão),,,,[],[],"[{'codigo': 5010, 'id': 40596, 'nome': 'Ajuste oclusal - (por sessÆo)', 'score': 0.96}, {'codigo': 3320, 'id': 40706, 'nome': 'Manuten\x87Æo Periodontal - (por sessÆo)', 'score': 0.6207}, {'codigo': 1020, 'id': 40714, 'nome': 'Aplica\x87Æo de Selnate Oclusa Invasivo - (por elemento)', 'score': 0.4865}]",,sem_candidato_semantico_confiavel,,,
easy,45,5060,Dessensibilização dentária - (por elemento),,,,[],[],"[{'codigo': 5060, 'id': 40601, 'nome': 'Dessensibiliza\x87Æo dent ria - (por elemento)', 'score': 0.9231}, {'codigo': 3280, 'id': 40702, 'nome': 'Gengivectomia ou Gengivoplastia - (por elemento)', 'score': 0.6024}, {'codigo': 5090, 'id': 40604, 'nome': 'Imobiliza\x87Æo dent ria (esplintagem)', 'score': 0.5833}]",,sem_candidato_semantico_confiavel,,,
easy,47,5080,Imobilização dentária com resina fotopolimerizável,,,,[],[],"[{'codigo': 5080, 'id': 40603, 'nome': 'Imobiliza\x87Æo dent ria com resina fotopolimeriz vel', 'score': 0.92}, {'codigo': 5090, 'id': 40604, 'nome': 'Imobiliza\x87Æo dent ria (esplintagem)', 'score': 0.6024}, {'codigo': 5060, 'id': 40601, 'nome': 'Dessensibiliza\x87Æo dent ria - (por elemento)', 'score': 0.5169}]",,sem_candidato_semantico_confiavel,,,
easy,48,5090,Imobilização dentária (esplintagem),,,,[],[],"[{'codigo': 5090, 'id': 40604, 'nome': 'Imobiliza\x87Æo dent ria (esplintagem)', 'score': 0.9091}, {'codigo': 5080, 'id': 40603, 'nome': 'Imobiliza\x87Æo dent ria com resina fotopolimeriz vel', 'score': 0.6024}, {'codigo': 5060, 'id': 40601, 'nome': 'Dessensibiliza\x87Æo dent ria - (por elemento)', 'score': 0.5833}]",,sem_candidato_semantico_confiavel,,,
easy,49,5121,Núcleo de preenchimento,,,,[],[],"[{'codigo': 5121, 'id': 40605, 'nome': 'N£cleo de preenchimento', 'score': 0.9565}, {'codigo': 5110, 'id': 40607, 'nome': 'N£cleo de preenchimento em resina', 'score': 0.7857}, {'codigo': 9020, 'id': 40879, 'nome': 'Preenchimento', 'score': 0.7222}]",,sem_candidato_semantico_confiavel,,,
easy,50,5100,Núcleo de preenchimento em ionômetro de vidro,,,,[],[],"[{'codigo': 5100, 'id': 40606, 'nome': 'N£cleo de preenchimento em ion\x93metro de vidro', 'score': 0.9556}, {'codigo': 5110, 'id': 40607, 'nome': 'N£cleo de preenchimento em resina', 'score': 0.7179}, {'codigo': 5121, 'id': 40605, 'nome': 'N£cleo de preenchimento', 'score': 0.6471}]",,sem_candidato_semantico_confiavel,,,
easy,51,5110,Núcleo de preenchimento em resina,,,,[],[],"[{'codigo': 5110, 'id': 40607, 'nome': 'N£cleo de preenchimento em resina', 'score': 0.9697}, {'codigo': 5121, 'id': 40605, 'nome': 'N£cleo de preenchimento', 'score': 0.7857}, {'codigo': 5100, 'id': 40606, 'nome': 'N£cleo de preenchimento em ion\x93metro de vidro', 'score': 0.7436}]",,sem_candidato_semantico_confiavel,,,
easy,52,5120,Núcleo fibra de vidro,,,,[],[],"[{'codigo': 5120, 'id': 40608, 'nome': 'N£cleo fibra de vidro', 'score': 0.9524}, {'codigo': 5100, 'id': 40606, 'nome': 'N£cleo de preenchimento em ion\x93metro de vidro', 'score': 0.5152}, {'codigo': 8270, 'id': 40752, 'nome': 'N£cleo Metal-free est\x82tico', 'score': 0.5106}]",,sem_candidato_semantico_confiavel,,,
easy,53,5130,Núcleo metálico pré-fabricado,,,,[],[],"[{'codigo': 5130, 'id': 40609, 'nome': 'N£cleo met lico pr\x82-fabricado', 'score': 0.8966}, {'codigo': 8260, 'id': 40753, 'nome': 'N£cleo Met lico-fundido', 'score': 0.6923}, {'codigo': 8261, 'id': 40890, 'nome': 'N£cleo Met lico fundido bi-partido', 'score': 0.5714}]",,sem_candidato_semantico_confiavel,,,
easy,54,5140,Núcleo rosqueavel - (Roach),,,,[],[],"[{'codigo': 5140, 'id': 40610, 'nome': 'N£cleo rosqueavel - (Roach)', 'score': 0.9565}, {'codigo': 8270, 'id': 40752, 'nome': 'N£cleo Metal-free est\x82tico', 'score': 0.4898}, {'codigo': 5121, 'id': 40605, 'nome': 'N£cleo de preenchimento', 'score': 0.4783}]",,sem_candidato_semantico_confiavel,,,
easy,56,5160,Reconstrução em Resina Direta - (+ de 3 Faces),,,,[],[],"[{'codigo': 5160, 'id': 40612, 'nome': 'Reconstru\x87Æo em Resina Direta - (+ de 3 Faces)', 'score': 0.9524}, {'codigo': 5230, 'id': 40619, 'nome': 'Restaura\x87Æo em Resina Direta - (3 Faces)', 'score': 0.7949}, {'codigo': 5220, 'id': 40618, 'nome': 'Restaura\x87Æo em Resina Direta - (2 Faces)', 'score': 0.7692}]",,sem_candidato_semantico_confiavel,,,
easy,57,5170,Restauração de Amálgama - 1 face,,,,[],[],"[{'codigo': 5170, 'id': 40613, 'nome': 'Restaura\x87Æo de Am lgama - 1 face', 'score': 0.9}, {'codigo': 5180, 'id': 40614, 'nome': 'Restaura\x87Æo de Am lgama - 2 faces', 'score': 0.8525}, {'codigo': 5190, 'id': 40615, 'nome': 'Restaura\x87Æo de Am lgama - 3 faces', 'score': 0.8525}]",,sem_candidato_semantico_confiavel,,,
easy,58,5180,Restauração de Amálgama - 2 faces,,,,[],[],"[{'codigo': 5180, 'id': 40614, 'nome': 'Restaura\x87Æo de Am lgama - 2 faces', 'score': 0.9032}, {'codigo': 5190, 'id': 40615, 'nome': 'Restaura\x87Æo de Am lgama - 3 faces', 'score': 0.871}, {'codigo': 5170, 'id': 40613, 'nome': 'Restaura\x87Æo de Am lgama - 1 face', 'score': 0.8525}]",,sem_candidato_semantico_confiavel,,,
