id_brana,tabela_id,codigo,nome_brana,nome_easy,diferencas,caracteres_corrompidos,nroproctab,codconv,especialidade,preco,candidato,motivo_nao_correcao_automatica,acao
40681,18,3070,Aumento de Coroa Cl¡nica - (Plastia),Aumento de Coroa Clínica - (Plastia),divergencia textual com correspondencia aproximada na fonte canonica,,125,3070,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40699,18,3250,Frenotomia L bial Inferior,Frenotomia Lábial Inferior,divergencia textual com correspondencia aproximada na fonte canonica,,143,3250,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40700,18,3260,Frenotomia L bial Superior,Frenotomia Lábial Superior,divergencia textual com correspondencia aproximada na fonte canonica,,144,3260,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40716,18,1040,Controle da Placa Bacteriana - (por sessÆo),Controle da Placa Bacteriana - (por sessão),divergencia textual com correspondencia aproximada na fonte canonica,,160,1040,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40721,18,1090,Teste de Risco de C rie,Teste de Risco de Cárie,divergencia textual com correspondencia aproximada na fonte canonica,,165,1090,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40724,18,8020,Conserto de Pr¢tese Total e Parcial,Conserto de Prótese Total e Parcial,divergencia textual com correspondencia aproximada na fonte canonica,,168,8020,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40738,18,8160,Coroa Provis¢ria Imediata,Coroa Provisória Imediata,divergencia textual com correspondencia aproximada na fonte canonica,,182,8160,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40739,18,8161,Coroa Provis¢ria de Onlay / Inlay,Coroa Provisória de Onlay / Inlay,divergencia textual com correspondencia aproximada na fonte canonica,,183,8161,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40740,18,8170,Coroa Provis¢ria de Laborat¢rio sob implante,Coroa Provisória de Laboratório sob implante,divergencia textual com correspondencia aproximada na fonte canonica,,184,8170,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40741,18,8180,Coroa met lica total,Coroa metálica total,divergencia textual com correspondencia aproximada na fonte canonica,,185,8180,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40742,18,8190,Coroa Provis¢ria de Laborat¢rio,Coroa Provisória de Laboratório,divergencia textual com correspondencia aproximada na fonte canonica,,186,8190,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40745,18,8200,Enceramento de diagn¢stico - (por elemento),Enceramento de diagnóstico - (por elemento),divergencia textual com correspondencia aproximada na fonte canonica,,189,8200,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40746,18,8210,Enceramento de diagn¢stico por elemento sob implante,Enceramento de diagnóstico por elemento sob implante,divergencia textual com correspondencia aproximada na fonte canonica,,190,8210,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40751,18,8151,MunhÆo Universal - CM,Munhão Universal - CM,divergencia textual com correspondencia aproximada na fonte canonica,,195,8151,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40753,18,8260,N£cleo Met lico-fundido,Núcleo Metálico-fundido,divergencia textual com correspondencia aproximada na fonte canonica,,197,8260,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40755,18,8300,Placa para Bruxismo Acr¡lica,Placa para Bruxismo Acrílica,divergencia textual com correspondencia aproximada na fonte canonica,,200,8300,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40758,18,8320,Pr¢tese Parcial Fixa Adesiva Metal-free,Prótese Parcial Fixa Adesiva Metal-free,divergencia textual com correspondencia aproximada na fonte canonica,,203,8320,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40759,18,8330,Pr¢tese Parcial Fixa Acrilica sob Implante,Prótese Parcial Fixa Acrilica sob Implante,divergencia textual com correspondencia aproximada na fonte canonica,,204,8330,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40765,18,8380,Pr¢tese Parcial Remov¡vel - (Importada) / (por arcada),Prótese Parcial Removível - (Importada) / (por arcada),divergencia textual com correspondencia aproximada na fonte canonica,,210,8380,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40766,18,8390,Pr¢tese Parcial Remov¡vel - (por arcada),Prótese Parcial Removível - (por arcada),divergencia textual com correspondencia aproximada na fonte canonica,,211,8390,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40767,18,8400,Pr¢tese Parcial Remov¡vel Provis¢ria - (por arcada),Prótese Parcial Removível Provisória - (por arcada),divergencia textual com correspondencia aproximada na fonte canonica,,212,8400,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40768,18,8410,Pr¢tese Total - (Importada) / (por arcada),Prótese Total - (Importada) / (por arcada),divergencia textual com correspondencia aproximada na fonte canonica,,213,8410,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40769,18,8420,Pr¢tese Total - (por arcada),Prótese Total - (por arcada),divergencia textual com correspondencia aproximada na fonte canonica,,214,8420,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40770,18,8430,Pr¢tese Total Imediada - (por arcada),Prótese Total Imediada - (por arcada),divergencia textual com correspondencia aproximada na fonte canonica,,215,8430,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40772,18,8440,Pr¢tese Protocolo,Prótese Protocolo,divergencia textual com correspondencia aproximada na fonte canonica,,217,8440,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40773,18,8450,Reembasamento de Coroa Provis¢ria,Reembasamento de Coroa Provisória,divergencia textual com correspondencia aproximada na fonte canonica,,218,8450,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40774,18,8460,Reembasamento Pr¢tese Total ou Parcial,Reembasamento Prótese Total ou Parcial,divergencia textual com correspondencia aproximada na fonte canonica,,219,8460,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40810,18,255,BotÆo de Nance,Botão de Nance,divergencia textual com correspondencia aproximada na fonte canonica,,255,,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40831,18,276,Grade palatina m¢vel,Grade palatina móvel,divergencia textual com correspondencia aproximada na fonte canonica,,276,,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40855,18,300,Placa de expansÆo para mordida cruzada,Placa de expansão para mordida cruzada,divergencia textual com correspondencia aproximada na fonte canonica,,300,,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40862,18,307,Placa interceptora de h bito,Placa interceptora de hábito,divergencia textual com correspondencia aproximada na fonte canonica,,307,,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40871,18,316,"Vilma Simäes - SN1, SN2, SN3, SN4, SN5","Vilma Simões - SN1, SN2, SN3, SN4, SN5",divergencia textual com correspondencia aproximada na fonte canonica,,316,,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40872,18,317,"Vilma Simäes - SN6, SN7","Vilma Simões - SN6, SN7",divergencia textual com correspondencia aproximada na fonte canonica,,317,,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40881,18,7060,Implante Zigom tico,Implante Zigomático,divergencia textual com correspondencia aproximada na fonte canonica,,326,7060,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40883,18,8171,Coroa Provis¢ria Imediata sob implante,Coroa Provisória Imediata sob implante,divergencia textual com correspondencia aproximada na fonte canonica,,328,8171,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40890,18,8261,N£cleo Met lico fundido bi-partido,Núcleo Metálico fundido bi-partido,divergencia textual com correspondencia aproximada na fonte canonica,,335,8261,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
