fonte,tabela_origem,id_origem,questionario_id_origem,questionario_nome,ordem,texto,tipo_pergunta,tipo_resposta,obrigatoria,opcoes,ativo,created_at,updated_at,observacoes
clinica_1_pos_importacao,anamnese_perguntas,212,8,Implante,10,Tempo de coagulação:,1,1,,,true,2026-05-15 07:36:49.229910-03:00,2026-05-15 07:36:49.229910-03:00,Pergunta candidata do seed operacional da clínica 1.
clinica_1_pos_importacao,anamnese_perguntas,213,8,Implante,11,Pressão arterial:,1,1,,,true,2026-05-15 07:36:49.229910-03:00,2026-05-15 07:36:49.229910-03:00,Pergunta candidata do seed operacional da clínica 1.
clinica_1_pos_importacao,anamnese_perguntas,214,8,Implante,12,Observações:,1,1,,,true,2026-05-15 07:36:49.229910-03:00,2026-05-15 07:36:49.229910-03:00,Pergunta candidata do seed operacional da clínica 1.
clinica_1_pos_importacao,anamnese_perguntas,191,9,Ficha complementar,1,Cor:,1,1,,,true,2026-05-15 07:36:49.229910-03:00,2026-05-15 07:36:49.229910-03:00,Pergunta candidata do seed operacional da clínica 1.
clinica_1_pos_importacao,anamnese_perguntas,192,9,Ficha complementar,2,Saúde:,1,1,,,true,2026-05-15 07:36:49.229910-03:00,2026-05-15 07:36:49.229910-03:00,Pergunta candidata do seed operacional da clínica 1.
clinica_1_pos_importacao,anamnese_perguntas,193,9,Ficha complementar,3,Saúde bucal:,1,1,,,true,2026-05-15 07:36:49.229910-03:00,2026-05-15 07:36:49.229910-03:00,Pergunta candidata do seed operacional da clínica 1.
clinica_1_pos_importacao,anamnese_perguntas,194,9,Ficha complementar,4,Higiene oral:,1,1,,,true,2026-05-15 07:36:49.229910-03:00,2026-05-15 07:36:49.229910-03:00,Pergunta candidata do seed operacional da clínica 1.
clinica_1_pos_importacao,anamnese_perguntas,195,9,Ficha complementar,5,Alergias gerais:,2,2,,,true,2026-05-15 07:36:49.229910-03:00,2026-05-15 07:36:49.229910-03:00,Pergunta candidata do seed operacional da clínica 1.
clinica_1_pos_importacao,anamnese_perguntas,196,9,Ficha complementar,6,Alergias a medicamentos:,2,2,,,true,2026-05-15 07:36:49.229910-03:00,2026-05-15 07:36:49.229910-03:00,Pergunta candidata do seed operacional da clínica 1.
clinica_1_pos_importacao,anamnese_perguntas,197,9,Ficha complementar,7,Tipo sanguíneo:,1,1,,,true,2026-05-15 07:36:49.229910-03:00,2026-05-15 07:36:49.229910-03:00,Pergunta candidata do seed operacional da clínica 1.
clinica_1_pos_importacao,anamnese_perguntas,198,9,Ficha complementar,8,Pressão arterial:,1,1,,,true,2026-05-15 07:36:49.229910-03:00,2026-05-15 07:36:49.229910-03:00,Pergunta candidata do seed operacional da clínica 1.
clinica_1_pos_importacao,anamnese_perguntas,199,9,Ficha complementar,9,Tempo de coagulação:,1,1,,,true,2026-05-15 07:36:49.229910-03:00,2026-05-15 07:36:49.229910-03:00,Pergunta candidata do seed operacional da clínica 1.
clinica_1_pos_importacao,anamnese_perguntas,200,9,Ficha complementar,10,Tempo de sangramento:,1,1,,,true,2026-05-15 07:36:49.229910-03:00,2026-05-15 07:36:49.229910-03:00,Pergunta candidata do seed operacional da clínica 1.
clinica_1_pos_importacao,anamnese_perguntas,201,9,Ficha complementar,11,Doenças que já teve:,1,1,,,true,2026-05-15 07:36:49.229910-03:00,2026-05-15 07:36:49.229910-03:00,Pergunta candidata do seed operacional da clínica 1.
clinica_1_pos_importacao,anamnese_perguntas,202,9,Ficha complementar,12,Problemas crônicos de saúde:,1,1,,,true,2026-05-15 07:36:49.229910-03:00,2026-05-15 07:36:49.229910-03:00,Pergunta candidata do seed operacional da clínica 1.
