acao_futura_bloqueada,campos_atuais,campos_preservados,campos_propostos,codconv_easy,codigo_brana_atual,divergencias,id_brana,justificativa,metodo_match,nivel_confianca,nome_brana_atual,nome_easy,nroproctab_easy,status
apply,"{'codigo': 241, 'especialidade': '07', 'nome': 'Bandagem (Tubo bracket)', 'preco': 0.0, 'simbolo_grafico_legacy_id': 21}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Bandagem (Tubo bracket)'},,241,[],40796,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + NROPROCTAB,ALTA,Bandagem (Tubo bracket),Bandagem (Tubo bracket),241,apto
apply,"{'codigo': 242, 'especialidade': '07', 'nome': 'Bandagem (Tubo duplo)', 'preco': 0.0, 'simbolo_grafico_legacy_id': 21}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Bandagem (Tubo duplo)'},,242,[],40797,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + NROPROCTAB,ALTA,Bandagem (Tubo duplo),Bandagem (Tubo duplo),242,apto
apply,"{'codigo': 243, 'especialidade': '07', 'nome': 'Bandagem (Tubo simples)', 'preco': 0.0, 'simbolo_grafico_legacy_id': 21}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Bandagem (Tubo simples)'},,243,[],40798,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + NROPROCTAB,ALTA,Bandagem (Tubo simples),Bandagem (Tubo simples),243,apto
apply,"{'codigo': 244, 'especialidade': '07', 'nome': 'Bandagem (Tubo triplo)', 'preco': 0.0, 'simbolo_grafico_legacy_id': 21}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Bandagem (Tubo triplo)'},,244,[],40799,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + NROPROCTAB,ALTA,Bandagem (Tubo triplo),Bandagem (Tubo triplo),244,apto
apply,"{'codigo': 245, 'especialidade': '07', 'nome': 'Barra Transpalatina', 'preco': 0.0, 'simbolo_grafico_legacy_id': 22}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Barra Transpalatina'},,245,[],40800,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + NROPROCTAB,ALTA,Barra Transpalatina,Barra Transpalatina,245,apto
apply,"{'codigo': 247, 'especialidade': '07', 'nome': 'Bio-ajustador - Tecnica MD3', 'preco': 0.0, 'simbolo_grafico_legacy_id': 37}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Bio-ajustador - Tecnica MD3'},,247,[],40802,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + NROPROCTAB,ALTA,Bio-ajustador - Tecnica MD3,Bio-ajustador - Tecnica MD3,247,apto
apply,"{'codigo': 248, 'especialidade': '07', 'nome': 'Bionator - Super', 'preco': 0.0, 'simbolo_grafico_legacy_id': 37}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Bionator - Super'},,248,[],40803,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + NROPROCTAB,ALTA,Bionator - Super,Bionator - Super,248,apto
apply,"{'codigo': 249, 'especialidade': '07', 'nome': 'Bionator de Balters - Classe I', 'preco': 0.0, 'simbolo_grafico_legacy_id': 37}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Bionator de Balters - Classe I'},,249,[],40804,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + NROPROCTAB,ALTA,Bionator de Balters - Classe I,Bionator de Balters - Classe I,249,apto
apply,"{'codigo': 250, 'especialidade': '07', 'nome': 'Bionator de Balters - Classe II', 'preco': 0.0, 'simbolo_grafico_legacy_id': 37}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Bionator de Balters - Classe II'},,250,[],40805,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + NROPROCTAB,ALTA,Bionator de Balters - Classe II,Bionator de Balters - Classe II,250,apto
apply,"{'codigo': 251, 'especialidade': '07', 'nome': 'Bionator de Balters - Classe III', 'preco': 0.0, 'simbolo_grafico_legacy_id': 37}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Bionator de Balters - Classe III'},,251,[],40806,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + NROPROCTAB,ALTA,Bionator de Balters - Classe III,Bionator de Balters - Classe III,251,apto
