easy_nroproctab,easy_codconv,easy_descricao,brana_id_candidato,brana_codigo_candidato,brana_nome_candidato,metodo_correspondencia,nivel_confianca,divergencias,ambiguidade,acao_futura_permitida,acao_futura_bloqueada,justificativa
30,6290,Fraturas alvédio-dentárias - redução cruenta,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
31,6300,Marzupialização de cisto,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
32,6310,Reconstrução parcial do lábio traumatizado,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
33,6320,Reconstrução total do lábio traumatizado,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
34,6330,Suturas múltiplas da face ou lábio,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
35,6340,Suturas simples da face ou lábio,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
36,6350,Tratamento de alveolite,40592,6350,Tratamento de alveolite,nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
37,6360,Tratamento de hemorragia,40593,6360,Tratamento de hemorragia,nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
38,6370,Tratamento cirúrgico do lábio leporino,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
39,5000,Adequação de meio bucal,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
