easy_nroproctab,easy_codconv,easy_descricao,brana_id_candidato,brana_codigo_candidato,brana_nome_candidato,metodo_correspondencia,nivel_confianca,divergencias,ambiguidade,acao_futura_permitida,acao_futura_bloqueada,justificativa
132,3140,Cirurgia Periodontal a retalho - (1 elemento),40688,3140,Cirurgia Periodontal a retalho - (1 elemento),nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
133,3150,Cirurgia Periodontal a retalho - (por segmento),40689,3150,Cirurgia Periodontal a retalho - (por segmento),nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
134,3160,Cunha Distal ou Proximal,40690,3160,Cunha Distal ou Proximal,nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
135,3170,Enxerto de Tecido Conjuntivo,40691,3170,Enxerto de Tecido Conjuntivo,nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
136,3180,Enxerto Gengival Livre,40692,3180,Enxerto Gengival Livre,nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
137,3190,Enxerto Osseo RTG - (Regeneração Tecidual Guiada),,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
138,3200,Enxerto Pediculado - (por elemento),40694,3200,Enxerto Pediculado - (por elemento),nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
139,3210,Enxerto por Tracionamento de Vestibulo - (por elemento),40695,3210,Enxerto por Tracionamento de Vestibulo - (por elemento),nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
140,3220,Enxerto por Tracionamento de Vestibulo - (por segmento),40696,3220,Enxerto por Tracionamento de Vestibulo - (por segmento),nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
141,3230,Frenectomia labial inferior,40697,3230,Frenectomia labial inferior,nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
142,3240,Frenectomia labial superior,40698,3240,Frenectomia labial superior,nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
143,3250,Frenotomia Lábial Inferior,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
144,3260,Frenotomia Lábial Superior,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
145,3270,Frenotomia Lingual,40701,3270,Frenotomia Lingual,nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
146,3280,Gengivectomia ou Gengivoplastia - (por elemento),40702,3280,Gengivectomia ou Gengivoplastia - (por elemento),nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
147,3290,Gengivectomia ou Gengivoplastia - (por segmento),40703,3290,Gengivectomia ou Gengivoplastia - (por segmento),nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
148,3300,Gengivectomia palatina / lingual - (por elemento),40704,3300,Gengivectomia palatina / lingual - (por elemento),nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
149,3310,Gengivectomia palatina / lingual - (por segmento),40705,3310,Gengivectomia palatina / lingual - (por segmento),nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
150,3320,Manutenção Periodontal - (por sessão),,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
151,3330,Raspagem Sub-gengival e Curetagem de bolsa - (por segmento),40707,3330,Raspagem Sub-gengival e Curetagem de bolsa - (por segmento),nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
152,3340,Raspagem Supra-gengival - (por segmento),40708,3340,Raspagem Supra-gengival - (por segmento),nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
153,3350,Remoção de Fatores de Retenção - (por segmento),,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
154,3360,Sepultamento Radicular - (por raiz),40710,3360,Sepultamento Radicular - (por raiz),nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
155,3370,Ulectomia,40711,3370,Ulectomia,nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
156,1000,Aplicação de Cariostático - (sessão),,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
157,1010,Aplicação de Flúor Verniz - (por elemento),,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
158,1020,Aplicação de Selnate Oclusa Invasivo - (por elemento),,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
159,1030,Aplicação Tópica de Flúor,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
160,1040,Controle da Placa Bacteriana - (por sessão),,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
161,1050,Instrução de Higiene Oral - (I.H.O.),,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
162,1060,Profilaxia - (Polimento com taça de borracha),,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
163,1070,Profilaxia - (Ultrason e Jato de Bicarbonato),40719,1070,Profilaxia - (Ultrason e Jato de Bicarbonato),nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
164,1080,Teste de fluxo salivar,40720,1080,Teste de fluxo salivar,nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
165,1090,Teste de Risco de Cárie,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
166,8000,Attachment,40722,8000,Attachment,nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
167,8010,Casquete de moldagem,40723,8010,Casquete de moldagem,nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
168,8020,Conserto de Prótese Total e Parcial,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
169,8030,Coroa em Resina Prensada,40725,8030,Coroa em Resina Prensada,nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
170,8040,Coroa em Resina Sinfony,40726,8040,Coroa em Resina Sinfony,nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
171,8050,Coroa em Resina sob implante,40727,8050,Coroa em Resina sob implante,nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
172,8060,Coroa Metal-free - (Cerampress),40728,8060,Coroa Metal-free - (Cerampress),nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
173,8070,Coroa Metal-free - (Inceram),40729,8070,Coroa Metal-free - (Inceram),nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
174,8080,Coroa Metal-free - (Procera),40730,8080,Coroa Metal-free - (Procera),nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
175,8090,Coroa Metal-free - (Zirconia; Sistema CAD/CAM),40731,8090,Coroa Metal-free - (Zirconia; Sistema CAD/CAM),nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
176,8100,Coroa Metal-free sob implante - (Cerampress),40732,8100,Coroa Metal-free sob implante - (Cerampress),nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
177,8110,Coroa Metal-free sob implante - (Inceram),40733,8110,Coroa Metal-free sob implante - (Inceram),nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
178,8120,Coroa Metal-free sob implante - (Procera),40734,8120,Coroa Metal-free sob implante - (Procera),nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
179,8130,Coroa Metal-free sob implante - (Zirconia; Sistema CAD/CAM),40735,8130,Coroa Metal-free sob implante - (Zirconia; Sistema CAD/CAM),nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
180,8140,Coroa metalo-cerâmica,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
181,8150,Coroa Metalo-cerâmica sob implante,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
182,8160,Coroa Provisória Imediata,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
183,8161,Coroa Provisória de Onlay / Inlay,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
184,8170,Coroa Provisória de Laboratório sob implante,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
185,8180,Coroa metálica total,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
186,8190,Coroa Provisória de Laboratório,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
187,8500,E-MAX - Lente de contato,40743,8500,E-MAX - Lente de contato,nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
188,8481,E-MAX - Restauração Onlay / Inlay em Dissilicato de lítio,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
189,8200,Enceramento de diagnóstico - (por elemento),,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
190,8210,Enceramento de diagnóstico por elemento sob implante,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
191,8220,Faceta em Porcelana,40747,8220,Faceta em Porcelana,nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
192,8230,Faceta em Resina Acrilica,40748,8230,Faceta em Resina Acrilica,nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
193,8240,Guia Cirurgico,40749,8240,Guia Cirurgico,nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
194,8250,Jig ou Front-Platô,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
195,8151,Munhão Universal - CM,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
196,8270,Núcleo Metal-free estético,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
197,8260,Núcleo Metálico-fundido,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
199,8290,Placa de mordida miorrelaxante,40754,8290,Placa de mordida miorrelaxante,nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
200,8300,Placa para Bruxismo Acrílica,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
201,8305,Placa para Bruxismo Mista - (Erkoflex),40756,8305,Placa para Bruxismo Mista - (Erkoflex),nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
202,8310,Placa para Clareamento,40757,8310,Placa para Clareamento,nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
203,8320,Prótese Parcial Fixa Adesiva Metal-free,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
204,8330,Prótese Parcial Fixa Acrilica sob Implante,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
205,8340,Prótese Parcial Fixa Metalo-cerâmica - (1 Pôntico),,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
206,8350,Prótese Parcial Fixa Metalo-cerâmica - (2 Pônticos),,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
207,8360,Prótese Parcial Fixa Metalo-plastica - (1 Pôntico),,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
208,8361,Prótese Parcial Fixa Metalo-plastica - (2 Pônticos),,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
209,8370,Prótese Parcial Fixa Provisória - (1 Pôntico),,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
210,8380,Prótese Parcial Removível - (Importada) / (por arcada),,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
211,8390,Prótese Parcial Removível - (por arcada),,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
212,8400,Prótese Parcial Removível Provisória - (por arcada),,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
213,8410,Prótese Total - (Importada) / (por arcada),,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
214,8420,Prótese Total - (por arcada),,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
215,8430,Prótese Total Imediada - (por arcada),,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
216,8291,Protetor bucal Playsafe,40771,8291,Protetor bucal Playsafe,nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
217,8440,Prótese Protocolo,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
218,8450,Reembasamento de Coroa Provisória,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
219,8460,Reembasamento Prótese Total ou Parcial,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
220,8470,Restauração Metálica Fundida - RMF,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
221,8480,Restauração Onlay / Inlay em Porcelana,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
222,8490,Restauração Onlay / Inlay em Ceromero,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
223,,Aparelho Autoligado (Arcada Inferior),40778,223,Aparelho Autoligado (Arcada Inferior),nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
224,,Aparelho Autoligado (Arcada Superior),40779,224,Aparelho Autoligado (Arcada Superior),nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
225,,Aparelho de contenção,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
226,,Aparelho em uma arcada conjugado c/ ap. auxiliar,40781,226,Aparelho em uma arcada conjugado c/ ap. auxiliar,nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
227,,Aparelho extra bucal,40782,227,Aparelho extra bucal,nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
228,,Aparelho Ortodôntico Estético em Porcelana - (Arcada Inferior),,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
229,,Aparelho Ortodôntico Estético em Porcelana - (Arcada Superior),,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
230,,Aparelho Ortodôntico Estético em Zafira - (Arcada Inferior),,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
231,,Aparelho Ortodôntico Estético em Zafira - (Arcada Superior),,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
232,,Aparelho Ortodôntico Fixo - (Arcada Inferior),,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
233,,Aparelho Ortodôntico Fixo - (Arcada Superior),,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
234,,Aparelho Ortopedico,40789,234,Aparelho Ortopedico,nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
235,,Aparelho removivel,40790,235,Aparelho removivel,nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
236,,"Aparelhos auxiliares (extra-oral, ""Bumper"", etc)",40791,236,"Aparelhos auxiliares (extra-oral, ""Bumper"", etc)",nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
237,,Arco Palatino,40792,237,Arco Palatino,nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
238,,Ativador de Haulp,40793,238,Ativador de Haulp,nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
239,,Ativador de Rossi,40794,239,Ativador de Rossi,nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
240,,Ativador de Zurick - Suíça,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
241,,Bandagem (Tubo bracket),40796,241,Bandagem (Tubo bracket),nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
242,,Bandagem (Tubo duplo),40797,242,Bandagem (Tubo duplo),nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
243,,Bandagem (Tubo simples),40798,243,Bandagem (Tubo simples),nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
244,,Bandagem (Tubo triplo),40799,244,Bandagem (Tubo triplo),nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
245,,Barra Transpalatina,40800,245,Barra Transpalatina,nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
246,,Bi-hélice,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
247,,Bio-ajustador - Tecnica MD3,40802,247,Bio-ajustador - Tecnica MD3,nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
248,,Bionator - Super,40803,248,Bionator - Super,nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
249,,Bionator de Balters - Classe I,40804,249,Bionator de Balters - Classe I,nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
250,,Bionator de Balters - Classe II,40805,250,Bionator de Balters - Classe II,nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
251,,Bionator de Balters - Classe III,40806,251,Bionator de Balters - Classe III,nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
252,,Blinler - A,40807,252,Blinler - A,nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
253,,Blinler - B,40808,253,Blinler - B,nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
254,,Blinler - C,40809,254,Blinler - C,nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
255,,Botão de Nance,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
256,,"Bracket (Bracket 0,18"" x 0,25"")",40811,256,"Bracket (Bracket 0,18"" x 0,25"")",nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
257,,"Bracket (Bracket 0,18"" x 0,30"")",40812,257,"Bracket (Bracket 0,18"" x 0,30"")",nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
258,,"Bracket (Bracket 0,22"" x 0,28"")",40813,258,"Bracket (Bracket 0,22"" x 0,28"")",nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
259,,Bracket (Bracket Straight-Wire),40814,259,Bracket (Bracket Straight-Wire),nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
260,,Contenção Fixa Lingual,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
261,,Contenção móvel - (Placa de acetáto),,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
262,,Disjuntor de Hass,40817,262,Disjuntor de Hass,nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
263,,Disjuntor de Hirax,40818,263,Disjuntor de Hirax,nome_exato + NROPROCTAB,comprovada,[],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
