tipo,nroproctab,codconv,nome,especialidade,simbolo,preco,candidatos_brana_por_nome,candidatos_brana_por_codigo,candidatos_por_similaridade,posicao_relativa,motivo_bloqueio,id,codigo,candidatos_easy_dental
easy,31,6300,Marzupialização de cisto,,,,[],[],"[{'id': 40587, 'codigo': 6300, 'nome': 'Marzupializa\x87Æo de cisto', 'score': 0.9167}, {'id': 40712, 'codigo': 1000, 'nome': 'Aplica\x87Æo de Cariost tico - (sessÆo)', 'score': 0.5357}, {'id': 40604, 'codigo': 5090, 'nome': 'Imobiliza\x87Æo dent ria (esplintagem)', 'score': 0.4912}]",,sem_candidato_semantico_confiavel,,,
easy,32,6310,Reconstrução parcial do lábio traumatizado,,,,[],[],"[{'id': 40588, 'codigo': 6310, 'nome': 'Reconstru\x87Æo parcial do l bio traumatizado', 'score': 0.9286}, {'id': 40589, 'codigo': 6320, 'nome': 'Reconstru\x87Æo total do l bio traumatizado', 'score': 0.8293}, {'id': 40766, 'codigo': 8390, 'nome': 'Pr¢tese Parcial Remov¡vel - (por arcada)', 'score': 0.4872}]",,sem_candidato_semantico_confiavel,,,
easy,33,6320,Reconstrução total do lábio traumatizado,,,,[],[],"[{'id': 40589, 'codigo': 6320, 'nome': 'Reconstru\x87Æo total do l bio traumatizado', 'score': 0.925}, {'id': 40588, 'codigo': 6310, 'nome': 'Reconstru\x87Æo parcial do l bio traumatizado', 'score': 0.8293}, {'id': 40769, 'codigo': 8420, 'nome': 'Pr¢tese Total - (por arcada)', 'score': 0.4688}]",,sem_candidato_semantico_confiavel,,,
easy,34,6330,Suturas múltiplas da face ou lábio,,,,[],[],"[{'id': 40590, 'codigo': 6330, 'nome': 'Suturas m£ltiplas da face ou l bio', 'score': 0.9412}, {'id': 40591, 'codigo': 6340, 'nome': 'Suturas simples da face ou l bio', 'score': 0.8485}, {'id': 40617, 'codigo': 5210, 'nome': 'Restaura\x87Æo em Resina Direta - (1 Face)', 'score': 0.4638}]",,sem_candidato_semantico_confiavel,,,
easy,35,6340,Suturas simples da face ou lábio,,,,[],[],"[{'id': 40591, 'codigo': 6340, 'nome': 'Suturas simples da face ou l bio', 'score': 0.9688}, {'id': 40590, 'codigo': 6330, 'nome': 'Suturas m£ltiplas da face ou l bio', 'score': 0.8485}, {'id': 40584, 'codigo': 6270, 'nome': 'Exodontia simples - (Anteriores)', 'score': 0.5}]",,sem_candidato_semantico_confiavel,,,
easy,38,6370,Tratamento cirúrgico do lábio leporino,,,,[],[],"[{'id': 40594, 'codigo': 6370, 'nome': 'Tratamento cir£rgico do l bio leporino', 'score': 0.9474}, {'id': 40644, 'codigo': 4200, 'nome': 'Tratamento cirurgico de lesÆo endo-perio - (Curetagem)', 'score': 0.6136}, {'id': 40645, 'codigo': 4210, 'nome': 'Tratamento cirurgico de lesÆo endo-perio com enxerto leofilizado', 'score': 0.6078}]",,sem_candidato_semantico_confiavel,,,
easy,39,5000,Adequação de meio bucal,,,,[],[],"[{'id': 40595, 'codigo': 5000, 'nome': 'Adequa\x87Æo de meio bucal', 'score': 0.913}, {'id': 40634, 'codigo': 4100, 'nome': 'Desobtura\x87Æo de canal', 'score': 0.5455}, {'id': 40876, 'codigo': 7050, 'nome': 'Levanto de seio maxilar', 'score': 0.5217}]",,sem_candidato_semantico_confiavel,,,
easy,40,5010,Ajuste oclusal - (por sessão),,,,[],[],"[{'id': 40596, 'codigo': 5010, 'nome': 'Ajuste oclusal - (por sessÆo)', 'score': 0.96}, {'id': 40706, 'codigo': 3320, 'nome': 'Manuten\x87Æo Periodontal - (por sessÆo)', 'score': 0.6207}, {'id': 40714, 'codigo': 1020, 'nome': 'Aplica\x87Æo de Selnate Oclusa Invasivo - (por elemento)', 'score': 0.4865}]",,sem_candidato_semantico_confiavel,,,
easy,45,5060,Dessensibilização dentária - (por elemento),,,,[],[],"[{'id': 40601, 'codigo': 5060, 'nome': 'Dessensibiliza\x87Æo dent ria - (por elemento)', 'score': 0.9231}, {'id': 40702, 'codigo': 3280, 'nome': 'Gengivectomia ou Gengivoplastia - (por elemento)', 'score': 0.6024}, {'id': 40604, 'codigo': 5090, 'nome': 'Imobiliza\x87Æo dent ria (esplintagem)', 'score': 0.5833}]",,sem_candidato_semantico_confiavel,,,
easy,47,5080,Imobilização dentária com resina fotopolimerizável,,,,[],[],"[{'id': 40603, 'codigo': 5080, 'nome': 'Imobiliza\x87Æo dent ria com resina fotopolimeriz vel', 'score': 0.92}, {'id': 40604, 'codigo': 5090, 'nome': 'Imobiliza\x87Æo dent ria (esplintagem)', 'score': 0.6024}, {'id': 40601, 'codigo': 5060, 'nome': 'Dessensibiliza\x87Æo dent ria - (por elemento)', 'score': 0.5169}]",,sem_candidato_semantico_confiavel,,,
