clinica_id,nome_clinica,tem_principal,tem_implante,tem_ficha_complementar,observacoes
1,Instuto Brana - Odontologia,sim,sim,sim,
4,Alisson Cristóvão Butarelo,sim,sim,sim,
8,Instituto Brana,sim,sim,sim,
