acao_futura_bloqueada,campos_atuais,campos_preservados,campos_propostos,candidatos_brana_por_codigo,candidatos_brana_por_nome,candidatos_easy_dental,candidatos_por_similaridade,codconv,codconv_easy,codigo,codigo_brana_atual,divergencias,especialidade,id,id_brana,justificativa,metodo_match,motivo_bloqueio,nivel_confianca,nome,nome_brana_atual,nome_easy,nroproctab,nroproctab_easy,posicao_relativa,preco,simbolo,status,tipo
apply,"{'codigo': 6230, 'especialidade': '06', 'nome': 'Exodontia de raiz residual', 'preco': 0.0, 'simbolo_grafico_legacy_id': 13}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Exodontia de raiz residual'},,,,,,6230,,6230,['codigo_nro'],,,40580,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + CODCONV,,M?DIA,,Exodontia de raiz residual,Exodontia de raiz residual,,24,,,,revisar,medio
apply,"{'codigo': 6240, 'especialidade': None, 'nome': 'Exodontia de raiz residual com retalho', 'preco': 0.0, 'simbolo_grafico_legacy_id': 13}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Exodontia de raiz residual com retalho'},,,,,,6240,,6240,['codigo_nro'],,,40581,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + CODCONV,,M?DIA,,Exodontia de raiz residual com retalho,Exodontia de raiz residual com retalho,,25,,,,revisar,medio
apply,"{'codigo': 6250, 'especialidade': None, 'nome': 'Exodontia de semi-incluso', 'preco': 0.0, 'simbolo_grafico_legacy_id': 13}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Exodontia de semi-incluso'},,,,,,6250,,6250,['codigo_nro'],,,40582,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + CODCONV,,M?DIA,,Exodontia de semi-incluso,Exodontia de semi-incluso,,26,,,,revisar,medio
apply,"{'codigo': 6260, 'especialidade': '06', 'nome': 'Exodontia + Enxerto + membrana', 'preco': 0.0, 'simbolo_grafico_legacy_id': 13}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Exodontia + Enxerto + membrana'},,,,,,6260,,6260,['codigo_nro'],,,40583,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + CODCONV,,M?DIA,,Exodontia + Enxerto + membrana,Exodontia + Enxerto + membrana,,27,,,,revisar,medio
apply,"{'codigo': 6270, 'especialidade': '06', 'nome': 'Exodontia simples - (Anteriores)', 'preco': 0.0, 'simbolo_grafico_legacy_id': 13}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Exodontia simples - (Anteriores)'},,,,,,6270,,6270,['codigo_nro'],,,40584,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + CODCONV,,M?DIA,,Exodontia simples - (Anteriores),Exodontia simples - (Anteriores),,28,,,,revisar,medio
apply,"{'codigo': 6280, 'especialidade': '06', 'nome': 'Exodontia simples - (Posteriores)', 'preco': 0.0, 'simbolo_grafico_legacy_id': 13}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Exodontia simples - (Posteriores)'},,,,,,6280,,6280,['codigo_nro'],,,40585,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + CODCONV,,M?DIA,,Exodontia simples - (Posteriores),Exodontia simples - (Posteriores),,29,,,,revisar,medio
apply,"{'codigo': 6350, 'especialidade': '06', 'nome': 'Tratamento de alveolite', 'preco': 0.0, 'simbolo_grafico_legacy_id': 57}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Tratamento de alveolite'},,,,,,6350,,6350,['codigo_nro'],,,40592,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + CODCONV,,M?DIA,,Tratamento de alveolite,Tratamento de alveolite,,36,,,,revisar,medio
apply,"{'codigo': 6360, 'especialidade': '06', 'nome': 'Tratamento de hemorragia', 'preco': 0.0, 'simbolo_grafico_legacy_id': 45}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Tratamento de hemorragia'},,,,,,6360,,6360,['codigo_nro'],,,40593,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + CODCONV,,M?DIA,,Tratamento de hemorragia,Tratamento de hemorragia,,37,,,,revisar,medio
apply,"{'codigo': 5020, 'especialidade': '02', 'nome': 'Capeamento pulpar', 'preco': 0.0, 'simbolo_grafico_legacy_id': 53}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Capeamento pulpar'},,,,,,5020,,5020,['codigo_nro'],,,40597,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + CODCONV,,M?DIA,,Capeamento pulpar,Capeamento pulpar,,41,,,,revisar,medio
apply,"{'codigo': 5030, 'especialidade': None, 'nome': 'Clareamento - (Caseiro)', 'preco': 0.0, 'simbolo_grafico_legacy_id': 31}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Clareamento - (Caseiro)'},,,,,,5030,,5030,['codigo_nro'],,,40598,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + CODCONV,,M?DIA,,Clareamento - (Caseiro),Clareamento - (Caseiro),,42,,,,revisar,medio
