id_brana,codigo_brana,nome_brana,nroproctab,codconv,descricao_easy,nome_normalizado,especialidade_easy,especialidade_brana,simbolo_easy,simbolo_brana,preco_easy,preco_brana,forma_cobranca_easy,forma_cobranca_brana,status_easy,status_brana,observacoes,risco,classificacao_anterior,classificacao_final,acao_futura_permitida,acao_futura_bloqueada
40629,4050,Apicectomia em Molares curetagem apical,73,4050,Apicectomia em Molares curetagem apical,apicectomia em molares curetagem apical,06,06,15,15,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40633,4090,Clareamento Interno,77,4090,Clareamento Interno,clareamento interno,,,31,31,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40636,4120,Pulpotomia,80,4120,Pulpotomia,pulpotomia,05,05,48,48,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40640,4160,Retratamento de Canal - (Incisivos),84,4160,Retratamento de Canal - (Incisivos),retratamento de canal - (incisivos),03,03,12,12,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40641,4170,Retratamento de Canal - (Molares com 4 ou mais condutos),85,4170,Retratamento de Canal - (Molares com 4 ou mais condutos),retratamento de canal - (molares com 4 ou mais condutos),,,12,12,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40642,4180,Retratamento de Canal - (Molares),86,4180,Retratamento de Canal - (Molares),retratamento de canal - (molares),,,12,12,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40646,4220,Tratamento de Canal - (Incisivos),90,4220,Tratamento de Canal - (Incisivos),tratamento de canal - (incisivos),03,03,12,12,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40647,4230,Tratamento de Canal - (Molares com mais de 3 condutos),91,4230,Tratamento de Canal - (Molares com mais de 3 condutos),tratamento de canal - (molares com mais de 3 condutos),,,12,12,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40648,4240,Tratamento de Canal - (Molares),92,4240,Tratamento de Canal - (Molares),tratamento de canal - (molares),,,12,12,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40661,2090,Curativo,105,2090,Curativo,curativo,05,05,57,57,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40663,2110,Modelo de Estudo - (Superior e Infeiror),107,2110,Modelo de Estudo - (Superior e Infeiror),modelo de estudo - (superior e infeiror),07,07,41,41,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40664,2120,Radiografia Bite-Wing - (inter-proximal),108,2120,Radiografia Bite-Wing - (inter-proximal),radiografia bite-wing - (inter-proximal),11,11,11,11,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
