linha_csv,codigo_csv,nome_csv,especialidade_csv,preco_csv,nroproctab_sql,codconv_sql,descricao_sql,especialidade_sql,preco_sql,codigo_brana,nome_brana,especialidade_brana,preco_brana,codigo_significado,classe_csv_sql,classe_csv_brana,nivel_confian?a_anterior,nivel_confian?a_final,justificativa
20,,Frankel - Classe II,Ortodontia,"0,00",272,,Frankel - Classe II,7,0.0,272,Frankel - Classe II,07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
21,,Frankel - Classe III,Ortodontia,"0,00",273,,Frankel - Classe III,7,0.0,273,Frankel - Classe III,07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
22,,Frankel - Mordida Aberta,Ortodontia,"0,00",274,,Frankel - Mordida Aberta,7,0.0,274,Frankel - Mordida Aberta,07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
23,,Grade palatina fixa,Ortodontia,"0,00",275,,Grade palatina fixa,7,0.0,275,Grade palatina fixa,07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
24,,Grade palatina móvel,Ortodontia,"0,00",276,,Grade palatina móvel,7,0.0,,,,,vazio,C,D,BLOQUEADA,CONTINUA_BLOQUEADO,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
25,,Klammt - Classe I,Ortodontia,"0,00",277,,Klammt - Classe I,7,0.0,277,Klammt - Classe I,07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
26,,Klammt - Classe II,Ortodontia,"0,00",278,,Klammt - Classe II,7,0.0,278,Klammt - Classe II,07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
27,,Klammt - Classe III,Ortodontia,"0,00",279,,Klammt - Classe III,7,0.0,279,Klammt - Classe III,07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
28,,Disjuntor MC Namara - Resina,Ortodontia,"0,00",265,,Disjuntor MC Namara - Resina,7,0.0,265,Disjuntor MC Namara - Resina,07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
29,,Arco Palatino,Ortodontia,"0,00",237,,Arco Palatino,7,0.0,237,Arco Palatino,07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
30,,Aparelho Autoligado (Arcada Inferior),Ortodontia,"175,00",223,,Aparelho Autoligado (Arcada Inferior),7,175.0,223,Aparelho Autoligado (Arcada Inferior),07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
31,,Aparelho Autoligado (Arcada Superior),Ortodontia,"175,00",224,,Aparelho Autoligado (Arcada Superior),7,175.0,224,Aparelho Autoligado (Arcada Superior),07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
32,,Aparelho de contenção,Ortodontia,"0,00",225,,Aparelho de contenção,7,0.0,,,,,vazio,C,D,BLOQUEADA,CONTINUA_BLOQUEADO,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
33,,Aparelho em uma arcada conjugado c/ ap. auxiliar,Ortodontia,"0,00",226,,Aparelho em uma arcada conjugado c/ ap. auxiliar,7,0.0,226,Aparelho em uma arcada conjugado c/ ap. auxiliar,07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
34,,Aparelho extra bucal,Ortodontia,"0,00",227,,Aparelho extra bucal,7,0.0,227,Aparelho extra bucal,07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
35,,Aparelho Ortodôntico Estético em Porcelana - (Arcada Inferior),Ortodontia,"150,00",228,,Aparelho Ortodôntico Estético em Porcelana - (Arcada Inferior),7,150.0,,,,,vazio,C,D,BLOQUEADA,CONTINUA_BLOQUEADO,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
36,,Aparelho Ortodôntico Estético em Porcelana - (Arcada Superior),Ortodontia,"150,00",229,,Aparelho Ortodôntico Estético em Porcelana - (Arcada Superior),7,150.0,,,,,vazio,C,D,BLOQUEADA,CONTINUA_BLOQUEADO,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
37,,Aparelho Ortodôntico Estético em Zafira - (Arcada Inferior),Ortodontia,"0,00",230,,Aparelho Ortodôntico Estético em Zafira - (Arcada Inferior),7,0.0,,,,,vazio,C,D,BLOQUEADA,CONTINUA_BLOQUEADO,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
38,,Aparelho Ortodôntico Estético em Zafira - (Arcada Superior),Ortodontia,"0,00",231,,Aparelho Ortodôntico Estético em Zafira - (Arcada Superior),7,0.0,,,,,vazio,C,D,BLOQUEADA,CONTINUA_BLOQUEADO,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
39,,Aparelho Ortodôntico Fixo - (Arcada Inferior),Ortodontia,"0,00",232,,Aparelho Ortodôntico Fixo - (Arcada Inferior),7,0.0,,,,,vazio,C,D,BLOQUEADA,CONTINUA_BLOQUEADO,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
